HOG,product,genes
N0.HOG0000001,cytochrome P450 2C23-like,
N0.HOG0000002,lamina-associated polypeptide 2  isoforms alpha/zeta-like,
N0.HOG0000002,acid-sensing ion channel 2-like,
N0.HOG0000002,hepatoma-derived growth factor-like,
N0.HOG0000002,lamina-associated polypeptide 2-like,
N0.HOG0000003,zinc finger protein 501-like,
N0.HOG0000003,putative zinc finger protein 876,
N0.HOG0000003,zinc finger protein 723-like,
N0.HOG0000003,zinc finger protein 665-like,
N0.HOG0000003,gastrula zinc finger protein XlCGF62.1-like,
N0.HOG0000003,zinc finger protein 160-like,
N0.HOG0000003,zinc finger protein 107-like,
N0.HOG0000004,zinc finger protein 431-like,
N0.HOG0000004,zinc finger protein 708-like,
N0.HOG0000004,zinc finger protein 160-like,
N0.HOG0000004,zinc finger protein 91-like,
N0.HOG0000004,zinc finger protein 665-like,
N0.HOG0000004,zinc finger protein 420-like,
N0.HOG0000005,zinc finger protein 493-like,
N0.HOG0000005,zinc finger protein 665-like,
N0.HOG0000005,zinc finger protein 160-like,
N0.HOG0000005,zinc finger protein 208-like,
N0.HOG0000006,zinc finger protein 91-like,
N0.HOG0000006,zinc finger protein 678-like,
N0.HOG0000006,zinc finger protein 708-like,
N0.HOG0000007,zinc finger protein 429-like,
N0.HOG0000007,zinc finger protein 678-like,
N0.HOG0000007,zinc finger protein 91-like,
N0.HOG0000007,zinc finger protein 665-like,
N0.HOG0000007,zinc finger protein 160-like,
N0.HOG0000007,zinc finger protein 501-like,
N0.HOG0000007,zinc finger protein 708-like,
N0.HOG0000007,zinc finger protein 493-like,
N0.HOG0000007,zinc finger protein 331-like,
N0.HOG0000007,zinc finger protein 239-like,
N0.HOG0000007,zinc finger protein 723-like,
N0.HOG0000008,zinc finger protein 708-like,
N0.HOG0000008,zinc finger protein 678-like,
N0.HOG0000008,zinc finger protein 3-like,
N0.HOG0000008,zinc finger protein 239-like,
N0.HOG0000008,putative zinc finger protein 56,
N0.HOG0000008,zinc finger protein OZF-like,
N0.HOG0000008,gastrula zinc finger protein XlCGF7.1-like,
N0.HOG0000008,zinc finger protein 253-like,
N0.HOG0000008,gastrula zinc finger protein XlCGF49.1-like,
N0.HOG0000008,zinc finger protein 91-like,
N0.HOG0000008,zinc finger protein 160-like,
N0.HOG0000008,zinc finger protein 429-like,
N0.HOG0000008,zinc finger protein 665-like,
N0.HOG0000008,zinc finger protein 664-like,
N0.HOG0000008,putative zinc finger protein 702,
N0.HOG0000008,gastrula zinc finger protein XlCGF8.2DB-like,
N0.HOG0000008,zinc finger protein 501-like,
N0.HOG0000008,zinc finger protein 525-like,
N0.HOG0000008,putative zinc finger protein 66,
N0.HOG0000008,zinc finger protein 85-like,
N0.HOG0000008,zinc finger protein 675-like,
N0.HOG0000009,zinc finger protein 664-like,
N0.HOG0000009,zinc finger protein 708-like,
N0.HOG0000009,putative zinc finger protein 735,
N0.HOG0000009,zinc finger protein 2 homolog,
N0.HOG0000009,zinc finger protein 501-like,
N0.HOG0000009,zinc finger protein 626-like,
N0.HOG0000010,zinc finger protein 850-like,
N0.HOG0000010,zinc finger protein 91-like,
N0.HOG0000010,zinc finger protein 665-like,
N0.HOG0000010,zinc finger protein 160-like,
N0.HOG0000010,zinc finger protein 723-like,
N0.HOG0000011,zinc finger protein 501-like,
N0.HOG0000012,zinc finger protein 678-like,
N0.HOG0000012,zinc finger protein 501-like,
N0.HOG0000012,putative zinc finger protein 66,
N0.HOG0000012,zinc finger protein 737-like,
N0.HOG0000012,zinc finger protein 91-like,
N0.HOG0000013,zinc finger protein 664-like,
N0.HOG0000013,zinc finger protein 160-like,
N0.HOG0000013,zinc finger protein 420-like,
N0.HOG0000013,zinc finger protein 91-like,
N0.HOG0000013,zinc finger protein 345-like,
N0.HOG0000014,zinc finger protein 665-like,
N0.HOG0000014,zinc finger protein 420-like,
N0.HOG0000014,zinc finger protein 2 homolog,
N0.HOG0000014,zinc finger protein 883-like,
N0.HOG0000014,zinc finger protein 345-like,
N0.HOG0000014,zinc finger protein 85-like,
N0.HOG0000014,zinc finger protein 726-like,
N0.HOG0000014,zinc finger protein 91-like,
N0.HOG0000014,zinc finger protein 708-like,
N0.HOG0000014,zinc finger protein 239-like,
N0.HOG0000014,zinc finger protein 493-like,
N0.HOG0000015,zinc finger protein 501-like,
N0.HOG0000015,zinc finger protein OZF-like,
N0.HOG0000016,zinc finger protein 85-like,
N0.HOG0000016,zinc finger protein 345-like,
N0.HOG0000016,zinc finger protein 678-like,
N0.HOG0000016,zinc finger protein 501-like,
N0.HOG0000016,zinc finger protein 420-like,
N0.HOG0000017,zinc finger protein 239-like,
N0.HOG0000017,putative zinc finger protein 66,
N0.HOG0000017,zinc finger protein 664-like,
N0.HOG0000018,zinc finger protein 708-like,
N0.HOG0000018,zinc finger protein 420-like,
N0.HOG0000018,zinc finger protein 2 homolog,
N0.HOG0000018,zinc finger protein 761-like,
N0.HOG0000018,zinc finger protein 91,
N0.HOG0000019,putative zinc finger protein 56,
N0.HOG0000019,zinc finger protein 239-like,
N0.HOG0000020,zinc finger protein 695-like,
N0.HOG0000020,zinc finger protein 708-like,
N0.HOG0000020,zinc finger protein 813-like,
N0.HOG0000020,zinc finger protein 345-like,
N0.HOG0000020,zinc finger protein 253-like,
N0.HOG0000020,gastrula zinc finger protein XlCGF67.1-like,
N0.HOG0000020,zinc finger protein 492-like,
N0.HOG0000021,putative zinc finger protein 66,
N0.HOG0000021,zinc finger protein 501-like,
N0.HOG0000021,zinc finger protein 85-like,
N0.HOG0000022,putative zinc finger protein 876,
N0.HOG0000022,zinc finger protein 485-like,
N0.HOG0000022,zinc finger protein 586-like,
N0.HOG0000023,zinc finger protein 436-like,
N0.HOG0000023,zinc finger protein 160-like,
N0.HOG0000023,zinc finger protein 723-like,
N0.HOG0000023,zinc finger protein 572-like,
N0.HOG0000023,zinc finger protein 2 homolog,
N0.HOG0000024,zinc finger protein 2 homolog,
N0.HOG0000024,gastrula zinc finger protein XlCGF49.1-like,
N0.HOG0000024,zinc finger protein 2-like,
N0.HOG0000024,oocyte zinc finger protein XlCOF22-like,
N0.HOG0000024,zinc finger protein 3-like,
N0.HOG0000025,zinc finger protein 260-like,
